"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Nov 27 14:31:11 EET 2019","Wed Nov 27 14:31:11 EET 2019","5","","Laren.E2ETests.Tests.WorkWithClosingFileTest","Ignored tests/test-cases","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddWorkflow","AddWorkflow",""
"passed","Wed Nov 27 14:29:23 EET 2019","Wed Nov 27 14:30:47 EET 2019","83385","","Laren.E2ETests.Tests.WorkWithClosingFileTest","","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddBuyerToClosingFile","AddBuyerToClosingFile",""
"passed","Wed Nov 27 14:30:44 EET 2019","Wed Nov 27 14:31:04 EET 2019","19617","","Laren.E2ETests.Tests.WorkWithClosingFileTest","","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddVendorWithUnderwriterType","AddVendorWithUnderwriterType",""
"passed","Wed Nov 27 14:30:47 EET 2019","Wed Nov 27 14:31:11 EET 2019","24312","","Laren.E2ETests.Tests.WorkWithClosingFileTest","","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddWorkflowNotification","AddWorkflowNotification",""
"passed","Wed Nov 27 14:29:23 EET 2019","Wed Nov 27 14:30:44 EET 2019","80595","","Laren.E2ETests.Tests.WorkWithClosingFileTest","","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddCommentToWorkflow","AddCommentToWorkflow",""
"failed","Wed Nov 27 14:29:23 EET 2019","Wed Nov 27 14:30:39 EET 2019","76019","","Laren.E2ETests.Tests.WorkWithClosingFileTest","","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddMoneyTest","AddMoneyTest",""
"passed","Wed Nov 27 14:29:23 EET 2019","Wed Nov 27 14:30:48 EET 2019","85025","","Laren.E2ETests.Tests.WorkWithClosingFileTest","","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddBuyerAddressTest","AddBuyerAddressTest",""
"skipped","Wed Nov 27 14:31:11 EET 2019","Wed Nov 27 14:31:11 EET 2019","5","","Laren.E2ETests.Tests.WorkWithClosingFileTest","Ignored tests/test-cases","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddDetailPropertyToClosingFile","AddDetailPropertyToClosingFile",""
"skipped","Wed Nov 27 14:31:11 EET 2019","Wed Nov 27 14:31:11 EET 2019","5","","Laren.E2ETests.Tests.WorkWithClosingFileTest","Ignored tests/test-cases","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddParticipants","AddParticipants",""
"failed","Wed Nov 27 14:29:23 EET 2019","Wed Nov 27 14:29:38 EET 2019","14825","","Laren.E2ETests.Tests.WorkWithClosingFileTest","","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddNoteToNotes","AddNoteToNotes",""
"skipped","Wed Nov 27 14:31:11 EET 2019","Wed Nov 27 14:31:11 EET 2019","5","","Laren.E2ETests.Tests.WorkWithClosingFileTest","Ignored tests/test-cases","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddImportantDatesTest","AddImportantDatesTest",""
"passed","Wed Nov 27 14:29:23 EET 2019","Wed Nov 27 14:30:53 EET 2019","89464","","Laren.E2ETests.Tests.WorkWithClosingFileTest","","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddClosingFile","AddClosingFile",""
"passed","Wed Nov 27 14:30:39 EET 2019","Wed Nov 27 14:31:00 EET 2019","20616","","Laren.E2ETests.Tests.WorkWithClosingFileTest","","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddVendorWithLenderType","AddVendorWithLenderType",""
"failed","Wed Nov 27 14:29:38 EET 2019","Wed Nov 27 14:31:04 EET 2019","86158","","Laren.E2ETests.Tests.WorkWithClosingFileTest","","Laren.E2ETests.Tests.WorkWithClosingFileTest","AddSellerToClosingFile","AddSellerToClosingFile",""
